,ZipCode,CrimeCount,VALUE-MIN(crime),Normalized Crime Rates,"Total Population, All Races"," ""American Indian & Alaska Native"""," ""Asian"""," ""Black or African American"""," ""Native Hawaiian & Other Pacific Islander"""," ""White (Not Hispanic or Latino)"""," ""Some other Race"""," ""Two or More Races"""," ""Hispanic or Latino""",value - min(pop),/max - min(pop),Community,Estimated Median Income,value - min(employ),/max-min(employ)
103,90094,192.0,191.0,0.040681576,"11,426",0.00%,17.33%,6.60%,0.00%,59.43%,1.93%,10.87%,12.05%,"11,398",0.104107487,Los Angeles (Playa Vista),"$166,667 ","$144,376 ",0.76
104,90045,730.0,729.0,0.155271565,"41,411",0.64%,14.40%,10.12%,0.21%,49.37%,3.20%,12.65%,19.55%,"41,383",0.377985623,"Los Angeles (Los Angeles International Airport, Westchester)","$115,943 ","$93,652 ",0.49
105,91040,214.0,213.0,0.045367412,"21,289",0.18%,10.78%,2.71%,0.02%,60.55%,6.11%,9.45%,23.21%,"21,261",0.194194532,"Los Angeles (Shadow Hills, Sunland)","$98,044 ","$75,753 ",0.4
106,91601,960.0,959.0,0.204259851,"34,786",0.18%,8.70%,8.56%,0.19%,44.80%,11.55%,9.42%,34.42%,"34,758",0.317473946,"Los Angeles (North Hollywood, Toluca Terrace)","$61,761 ","$39,470 ",0.21
107,91345,250.0,249.0,0.053035144,"18,752",0.97%,10.98%,1.25%,1.49%,17.52%,39.45%,8.20%,67.20%,"18,724",0.171021985,Los Angeles (Mission Hills),"$85,659 ","$63,368 ",0.33
108,90061,583.0,582.0,0.123961661,"29,992",4.09%,0.65%,27.96%,0.02%,1.16%,24.54%,11.64%,68.55%,"29,964",0.273686326,Los Angeles (South Los Angeles),"$50,427 ","$28,136 ",0.15
109,90211,145.0,144.0,0.030670927,,,,,,,,,,,,Beverly Hills,"$89,946 ","$67,655 ",0.36
110,91606,740.0,739.0,0.157401491,"43,381",0.96%,4.21%,4.73%,0.17%,35.70%,20.65%,10.60%,52.16%,"43,353",0.395979284,"Los Angeles (North Hollywood, Valley Glen)","$57,146 ","$34,855 ",0.18
111,90095,95.0,94.0,0.020021299,,,,,,,,,,,,,,,
112,91326,235.0,234.0,0.049840256,"36,079",0.68%,31.07%,8.34%,0.03%,42.14%,4.42%,8.01%,14.65%,"36,051",0.329283998,"Los Angeles (Northridge, Porter Ranch)","$130,322 ","$108,031 ",0.57
113,90073,305.0,304.0,0.064749734,,,,,,,,,,,,,,,
114,90089,444.0,443.0,0.094355698,,,,,,,,,,,,,,,
115,91604,722.0,721.0,0.153567625,"32,680",0.30%,8.11%,4.07%,0.00%,70.71%,1.88%,9.35%,11.35%,"32,652",0.298238083,"Los Angeles (North Hollywood, Studio City)","$124,271 ","$101,980 ",0.54
116,91364,379.0,378.0,0.080511182,"28,264",0.32%,9.41%,6.76%,0.13%,64.96%,4.78%,7.99%,13.54%,"28,236",0.257903053,Los Angeles (Woodland Hills),"$116,443 ","$94,152 ",0.5
117,90505,54.0,53.0,0.011288605,,,,,,,,,,,,Torrance,"$101,043 ","$78,752 ",0.41
118,91325,513.0,512.0,0.109052183,"35,355",0.44%,16.01%,6.16%,0.29%,35.78%,23.47%,9.44%,37.76%,"35,327",0.3226711,Los Angeles (Northridge),"$73,119 ","$50,828 ",0.27
119,91515,32.0,31.0,0.006602769,,,,,,,,,,,,,,,
120,91522,33.0,32.0,0.006815761,,,,,,,,,,,,,,,
121,91307,241.0,240.0,0.051118211,"25,773",0.80%,17.39%,3.91%,0.07%,58.12%,4.90%,7.46%,15.36%,"25,745",0.235150663,"Los Angeles (West Hills), Bell Canyon","$125,343 ","$103,052 ",0.54
122,90232,117.0,116.0,0.024707135,,,,,,,,,,,,Culver City,"$105,932 ","$83,641 ",0.44
123,90058,207.0,206.0,0.043876464,"3,659",0.00%,0.08%,7.00%,0.14%,9.57%,27.79%,3.33%,81.77%,"3,631",0.033164966,"Los Angeles (Southeast Los Angeles), Vernon","$33,146 ","$10,855 ",0.06
124,90405,19.0,18.0,0.003833866,,,,,,,,,,,,"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)","$97,010 ","$74,719 ",0.39
125,91504,31.0,30.0,0.006389776,"27,592",0.75%,11.04%,4.36%,0.05%,54.90%,6.98%,10.72%,23.47%,"27,564",0.251765114,Burbank (Glenoaks),"$89,219 ","$66,928 ",0.35
